title,artist,top genre,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,POP,29.955690999999998,91.0,2011,128.0,76.0,72.0,-4.0,32.0,62.0,201.0,1.0,5.0,76
Love On Top,Beyoncé,POP,26.71493,89.0,2011,94.0,75.0,65.0,-5.0,60.0,65.0,267.0,8.0,9.0,76
Grenade,Bruno Mars,POP,29.381078999999996,93.0,2011,110.0,56.0,71.0,-7.0,12.0,23.0,223.0,15.0,6.0,75
Tonight Tonight,Hot Chelle Rae,POP,0.5114350000000001,67.0,2011,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,75
What the Hell,Avril Lavigne,POP,7.005908,81.0,2011,150.0,93.0,58.0,-4.0,14.0,88.0,221.0,0.0,5.0,74
Born This Way,Lady Gaga,POP,16.716518,90.0,2011,124.0,83.0,59.0,-5.0,33.0,49.0,260.0,0.0,16.0,73
Monster,Kanye West,HIPHOP,13.560642000000001,93.0,2011,125.0,69.0,63.0,-6.0,67.0,10.0,379.0,0.0,20.0,73
Marry You,Bruno Mars,POP,29.381078999999996,93.0,2011,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73
Best Thing I Never Had,Beyoncé,POP,26.71493,89.0,2011,99.0,65.0,55.0,-4.0,9.0,30.0,254.0,14.0,3.0,73
Party Rock Anthem,LMFAO,POP,3.680054,72.0,2011,130.0,74.0,75.0,-4.0,27.0,35.0,262.0,2.0,16.0,72
We R Who We R,Kesha,POP,6.235482,82.0,2011,120.0,82.0,74.0,-5.0,12.0,65.0,205.0,1.0,4.0,72
Price Tag,Jessie J,POP,8.417336,77.0,2011,175.0,83.0,64.0,-4.0,27.0,68.0,223.0,3.0,18.0,72
Good Life,OneRepublic,POP,11.507962,85.0,2011,95.0,69.0,63.0,-8.0,13.0,65.0,253.0,8.0,5.0,72
Just Cant Get Enough,The Black Eyed Peas,POP,,,2011,94.0,63.0,66.0,-9.0,11.0,26.0,219.0,19.0,18.0,71
